$0;1378814632852912850;1.8-SNAPSHOT;KIEKER-SINGLETON;myHost;1;false;0;NANOSECONDS;1
$1;1378814632852360525;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632849896821;1378814632852105483;myHost;-1;-1
$1;1378814632867753633;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632852970771;1378814632867681312;myHost;-1;-1
$1;1378814632869662451;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632867836834;1378814632869649011;myHost;-1;-1
$1;1378814632871656390;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632869682611;1378814632871646790;myHost;-1;-1
$1;1378814632873732570;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632871710791;1378814632873724250;myHost;-1;-1
$1;1378814632875637869;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632873741530;1378814632875622188;myHost;-1;-1
$1;1378814632877632448;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632875684589;1378814632877623808;myHost;-1;-1
$1;1378814632879646547;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632877640128;1378814632879629267;myHost;-1;-1
$1;1378814632881640166;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632879735508;1378814632881625126;myHost;-1;-1
$1;1378814632883739386;public void kieker.examples.userguide.ch2bookstore.manual.Catalog.getBook(boolean);<no-session-id>;-1;1378814632881654246;1378814632883718586;myHost;-1;-1
