date time page_req size
2011-01-01 00:00 513791 8556728324
2011-01-01 01:00 661334 11016293144
2011-01-01 02:00 563400 9055125341
2011-01-01 03:00 419004 6953042507
2011-01-01 04:00 330422 5625023501
2011-01-01 05:00 237989 4328278344
2011-01-01 06:00 222646 4151321940
2011-01-01 07:00 217727 3860185322
2011-01-01 08:00 281657 4727314352
2011-01-01 09:00 441513 7383337481
2011-01-01 10:00 684755 11327169974
2011-01-01 11:00 992361 16107847888
2011-01-01 12:00 1285891 20491399218
2011-01-01 13:00 1487105 24025397241
2011-01-01 14:00 1647179 26662187616
2011-01-01 15:00 1685984 27677743103
2011-01-01 16:00 1966405 30365627917
2011-01-01 17:00 2093509 33342546390
2011-01-01 18:00 2105831 33687118934
2011-01-01 19:00 2035232 32677264393
2011-01-01 20:00 2013364 32299610946
2011-01-01 21:00 2009960 31905610008
2011-01-01 22:00 2193211 35248543700
2011-01-01 23:00 1908190 30667878303
2011-01-02 00:00 1459702 23041507132
2011-01-02 01:00 1010167 16048862444
2011-01-02 02:00 697142 11290323396
2011-01-02 03:00 512334 8618956894
2011-01-02 04:00 372996 6453010569
2011-01-02 05:00 309273 5323585743
2011-01-02 06:00 275452 4731576360
2011-01-02 07:00 296143 5182416260
2011-01-02 08:00 425797 7432209014
2011-01-02 09:00 723926 12370616895
2011-01-02 10:00 1284924 21734685264
2011-01-02 11:00 1678893 27979566768
2011-01-02 12:00 1976358 30984892306
2011-01-02 13:00 2107633 33850447175
2011-01-02 14:00 2247085 35014702100
2011-01-02 15:00 2273854 35517039750
2011-01-02 16:00 2230111 35918306033
2011-01-02 17:00 2390575 38391042731
2011-01-02 18:00 2457892 37643404459
2011-01-02 19:00 2365277 37240594936
2011-01-02 20:00 2324485 36799293432
2011-01-02 21:00 2249493 36094675228
2011-01-02 22:00 2172155 34814279026
2011-01-02 23:00 1863926 28996530374
2011-01-03 00:00 1315264 21129546959
2011-01-03 01:00 912938 15009834842
2011-01-03 02:00 623741 10086262550
2011-01-03 03:00 441537 7432979575
2011-01-03 04:00 344453 6083673806
2011-01-03 05:00 295468 5140479608
2011-01-03 06:00 327496 5651366784
2011-01-03 07:00 477101 9416119577
2011-01-03 08:00 823910 16732885808
2011-01-03 09:00 1279572 25737179667
2011-01-03 10:00 1737506 34964060506
2011-01-03 11:00 2093699 42105196408
2011-01-03 12:00 2147307 42282689464
2011-01-03 13:00 2468302 45765258134
2011-01-03 14:00 2882821 46941167166
2011-01-03 15:00 2606202 41815061937
2011-01-03 16:00 2353340 39999517028
2011-01-03 17:00 2152264 37679752313
2011-01-03 18:00 2307818 35499092739
2011-01-03 19:00 2503468 34353359801
2011-01-03 20:00 2382716 36992904110
2011-01-03 21:00 2197699 33653830615
2011-01-03 22:00 2012619 32578217152
2011-01-03 23:00 1705482 28052482208
2011-01-04 00:00 1245956 20310082763
2011-01-04 01:00 829361 13640235730
2011-01-04 02:00 561961 9761764448
2011-01-04 03:00 417472 7242333960
2011-01-04 04:00 333161 5910957047
2011-01-04 05:00 288182 5109410293
2011-01-04 06:00 340505 6830206132
2011-01-04 07:00 584423 12504518714
2011-01-04 08:00 976658 21307252988
2011-01-04 09:00 1418578 30012986232
2011-01-04 10:00 1878294 37439162101
2011-01-04 11:00 2173202 42646889279
2011-01-04 12:00 2289265 43899019332
2011-01-04 13:00 2437123 49847764048
2011-01-04 14:00 2679005 47762606651
2011-01-04 15:00 2562830 44440473415
2011-01-04 16:00 2526066 40431162632
2011-01-04 17:00 2278932 35194315711
2011-01-04 18:00 2109429 32024435428
2011-01-04 19:00 2158872 32653447174
2011-01-04 20:00 2162922 32738684016
2011-01-04 21:00 2123329 33097872742
2011-01-04 22:00 2043300 32021269386
2011-01-04 23:00 1620490 26185072625
2011-01-05 00:00 1139286 19351841240
2011-01-05 01:00 803434 14411560127
2011-01-05 02:00 564269 10458269303
2011-01-05 03:00 407702 7560339079
2011-01-05 04:00 336563 6542778945
2011-01-05 05:00 299016 5238529362
2011-01-05 06:00 341730 6782078247
2011-01-05 07:00 592788 13130355465
2011-01-05 08:00 1034448 22745958514
2011-01-05 09:00 1443717 30165756841
2011-01-05 10:00 1942897 39571967331
2011-01-05 11:00 2269605 44396140218
2011-01-05 12:00 2373507 46750911295
2011-01-05 13:00 2437522 48255272568
2011-01-05 14:00 2554176 49835488462
2011-01-05 15:00 2521046 48904873323
2011-01-05 16:00 2386937 44687474303
2011-01-05 17:00 2228409 39842225050
2011-01-05 18:00 2169103 36301779609
2011-01-05 19:00 2071332 35060188048
2011-01-05 20:00 2238756 36781241582
2011-01-05 21:00 2173783 36212449948
2011-01-05 22:00 1999662 32134481476
2011-01-05 23:00 1681840 28036695101
2011-01-06 00:00 1209344 20799369317
2011-01-06 01:00 857439 14993303565
2011-01-06 02:00 591002 10358513609
2011-01-06 03:00 432392 8241339773
2011-01-06 04:00 361717 6874072573
2011-01-06 05:00 308615 6085341572
2011-01-06 06:00 346379 7079140636
2011-01-06 07:00 556695 11690672351
2011-01-06 08:00 978153 19832943992
2011-01-06 09:00 1362322 27766074315
2011-01-06 10:00 1907292 35322025974
2011-01-06 11:00 2154621 41330478361
2011-01-06 12:00 2232875 42559939027
2011-01-06 13:00 2458154 45053332349
2011-01-06 14:00 2539467 47170824078
2011-01-06 15:00 2569325 47274668274
2011-01-06 16:00 2461721 44627227074
2011-01-06 17:00 2425027 41089837420
2011-01-06 18:00 2336747 38360802309
2011-01-06 19:00 2289655 38366309341
2011-01-06 20:00 2363984 39013831196
2011-01-06 21:00 2436656 38952560946
2011-01-06 22:00 2175567 37057265936
2011-01-06 23:00 1711844 28698789707
2011-01-07 00:00 1221684 20009190084
2011-01-07 01:00 834433 13977844484
2011-01-07 02:00 573088 9689941197
2011-01-07 03:00 425632 7554543304
2011-01-07 04:00 344164 6518910227
2011-01-07 05:00 301067 5553480458
2011-01-07 06:00 359164 7135478242
2011-01-07 07:00 581868 12385865704
2011-01-07 08:00 1000279 21440954291
2011-01-07 09:00 1414585 29207570719
2011-01-07 10:00 1837788 36179019767
2011-01-07 11:00 2093937 40473137108
2011-01-07 12:00 2114714 41102923511
2011-01-07 13:00 2284444 42093744558
2011-01-07 14:00 2278350 42524522590
2011-01-07 15:00 2280554 41446142041
2011-01-07 16:00 2218456 39096831547
2011-01-07 17:00 2115374 35854859660
2011-01-07 18:00 1962489 33017701573
2011-01-07 19:00 1922602 32429001748
2011-01-07 20:00 2047035 33993793338
2011-01-07 21:00 2069859 33443328569
2011-01-07 22:00 2113218 37241025772
2011-01-07 23:00 1618899 26238302772
2011-01-08 00:00 1243051 20628621190
2011-01-08 01:00 875087 14789215133
2011-01-08 02:00 606220 10577138121
2011-01-08 03:00 448469 7981580019
2011-01-08 04:00 342831 6648168247
2011-01-08 05:00 295129 5512529439
2011-01-08 06:00 304712 5812087720
2011-01-08 07:00 329080 6004043504
2011-01-08 08:00 495629 8854773552
2011-01-08 09:00 764945 13611179714
2011-01-08 10:00 1171329 20102800557
2011-01-08 11:00 1498634 25368202179
2011-01-08 12:00 1666185 28048610125
2011-01-08 13:00 1827817 30277199942
2011-01-08 14:00 1948173 31732416374
2011-01-08 15:00 1996197 32972635329
2011-01-08 16:00 2051060 33865626759
2011-01-08 17:00 2146332 35473414346
2011-01-08 18:00 2191576 34775932770
2011-01-08 19:00 2092345 34837354692
2011-01-08 20:00 2000891 33092382883
2011-01-08 21:00 2051416 32703385226
2011-01-08 22:00 2012644 33151720430
2011-01-08 23:00 1804567 29486629429
2011-01-09 00:00 1370344 22791915649
2011-01-09 01:00 985260 16849851118
2011-01-09 02:00 668420 11857668717
2011-01-09 03:00 485159 8803408676
2011-01-09 04:00 364858 7275059125
2011-01-09 05:00 291137 5899466720
2011-01-09 06:00 278452 4918573120
2011-01-09 07:00 321542 5562140864
2011-01-09 08:00 457819 7925505972
2011-01-09 09:00 815297 13406548007
2011-01-09 10:00 1398964 24999008719
2011-01-09 11:00 1926150 32832959092
2011-01-09 12:00 2218265 36536489654
2011-01-09 13:00 2400221 40043865930
2011-01-09 14:00 2559639 41692892960
2011-01-09 15:00 2671568 42599951904
2011-01-09 16:00 2700016 43343419939
2011-01-09 17:00 2784698 45860473012
2011-01-09 18:00 2796609 44185521164
2011-01-09 19:00 2707145 43997414470
2011-01-09 20:00 2639479 43478636541
2011-01-09 21:00 2505917 40830833650
2011-01-09 22:00 2382560 38692571165
2011-01-09 23:00 1760669 28356953375
2011-01-10 00:00 1112374 18250110996
2011-01-10 01:00 707989 11886545877
2011-01-10 02:00 473510 8020568792
2011-01-10 03:00 355393 6061960826
2011-01-10 04:00 290609 5300797067
2011-01-10 05:00 279733 4920003293
2011-01-10 06:00 372321 7020120285
2011-01-10 07:00 623216 13122975457
2011-01-10 08:00 1154728 25880115087
2011-01-10 09:00 1551385 33648255280
2011-01-10 10:00 1940983 41198983315
2011-01-10 11:00 2133234 44406745975
2011-01-10 12:00 2201531 46242984807
2011-01-10 13:00 2339998 47389023581
2011-01-10 14:00 2726663 54008450646
2011-01-10 15:00 2867833 53638940760
2011-01-10 16:00 2823599 49972429409
2011-01-10 17:00 2654229 45030325751
2011-01-10 18:00 2604302 42472348061
2011-01-10 19:00 2563826 41463470849
2011-01-10 20:00 2798925 47158890303
2011-01-10 21:00 2642668 43374613942
2011-01-10 22:00 2280052 36979280884
2011-01-10 23:00 1587095 26244224118
2011-01-11 00:00 1015421 16868225015
2011-01-11 01:00 633566 10819812303
2011-01-11 02:00 433882 7699509195
2011-01-11 03:00 341575 6318061352
2011-01-11 04:00 298897 5868425308
2011-01-11 05:00 287072 5194598293
2011-01-11 06:00 390689 7672937608
2011-01-11 07:00 715765 15691059975
2011-01-11 08:00 1340821 29946577297
2011-01-11 09:00 1731983 37114150661
2011-01-11 10:00 2068787 43808116521
2011-01-11 11:00 2224083 46297092689
2011-01-11 12:00 2293397 48466955998
2011-01-11 13:00 2574865 49610019199
2011-01-11 14:00 2758595 54754548295
2011-01-11 15:00 2825211 54875235888
2011-01-11 16:00 2961641 51722972240
2011-01-11 17:00 2774418 47232299104
2011-01-11 18:00 2664003 44189398048
2011-01-11 19:00 2642628 42885611732
2011-01-11 20:00 2624803 41972220081
2011-01-11 21:00 2617028 41808806212
2011-01-11 22:00 2218991 35957037238
2011-01-11 23:00 1601210 25652997892
2011-01-12 00:00 989552 16575059648
2011-01-12 01:00 628478 10664594676
2011-01-12 02:00 428124 7505290217
2011-01-12 03:00 334375 6285827066
2011-01-12 04:00 278019 5374834676
2011-01-12 05:00 267494 5226453568
2011-01-12 06:00 374088 7634507932
2011-01-12 07:00 756181 15308068142
2011-01-12 08:00 1327745 26645650422
2011-01-12 09:00 1455807 31969592505
2011-01-12 10:00 1912067 39531871894
2011-01-12 11:00 2201153 45906516425
2011-01-12 12:00 2219770 46781780560
2011-01-12 13:00 2317525 46995209646
2011-01-12 14:00 2730320 53069547499
2011-01-12 15:00 2860480 51986788672
2011-01-12 16:00 2883698 49776672485
2011-01-12 17:00 2750777 46572246172
2011-01-12 18:00 2533091 43708931792
2011-01-12 19:00 2561099 41948943405
2011-01-12 20:00 2501017 42655296674
2011-01-12 21:00 2636985 42489991552
2011-01-12 22:00 2236188 36574211323
2011-01-12 23:00 1611786 26702347109
