$0;-1;1.9-SNAPSHOT;KIEKER;avh-ThinkPad-RSS;1;false;0;NANOSECONDS;1
$1;1283156545581511026;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976130;1283156498771185344;1283156498773323582;SRV1;1;1
$1;1283156545582989159;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976129;1283156498770900902;1283156498773404399;SRV1;1;1
$1;1283156545583183369;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976131;1283156498771217428;1283156498773467142;SRV0;1;1
$1;1283156545583394575;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976133;1283156498771886455;1283156498773909331;SRV1;1;1
$1;1283156545584578135;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976135;1283156498771961588;1283156498774015706;SRV1;1;1
$1;1283156545584768739;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976136;1283156498771998580;1283156498774111402;SRV1;1;1
$1;1283156545584955238;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976137;1283156498772035800;1283156498774198867;SRV1;1;1
$1;1283156545585143271;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976141;1283156498772147257;1283156498774280267;SRV0;1;1
$1;1283156545585331707;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976142;1283156498772184429;1283156498774349415;SRV1;1;1
$1;1283156545585517612;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976139;1283156498772093671;1283156498774381256;SRV1;1;1
$1;1283156545585718555;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976140;1283156498772111035;1283156498774410453;SRV0;1;1
$1;1283156545585914557;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976144;1283156498772259601;1283156498774461648;SRV0;1;1
$1;1283156545586106706;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976143;1283156498772221716;1283156498774499524;SRV1;1;1
$1;1283156545586296080;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976134;1283156498771924863;1283156498774529789;SRV1;1;1
$1;1283156545586502575;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976138;1283156498772073475;1283156498774552352;SRV1;1;1
$1;1283156545588717995;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976132;1283156498771847590;1283156498774567114;SRV1;1;1
$1;1283156545588917257;bookstoreTracing.Catalog.getBook(boolean);N/A;6488138950668976147;1283156498785457896;1283156498787494371;SRV1;1;1
